Episode,Total_Reward,Episode_Steps,Final_Altitude,Final_Speed
1,-1617.6670892354373,161,17.49515724182129,33.56618642807007
2,-1259.0811064594732,215,18.41597557067871,31.757761240005493
3,-1550.594199647503,192,16.92091941833496,35.07818818092346
4,-1605.5000232405237,157,18.436656951904297,32.71118640899658
5,-1637.4477323751012,151,17.397560119628906,33.49849581718445
6,-1588.2016549900336,170,17.750492095947266,34.51603174209595
7,-1430.2538632747542,250,16.630847930908203,34.691628217697144
8,-1567.586704380661,161,18.16895866394043,32.39604473114014
9,-1580.0252403491015,174,19.35513687133789,33.4918737411499
10,-1573.5286851168842,174,17.263139724731445,34.03445482254028
11,-1518.4420674581122,178,19.480512619018555,32.88558840751648
12,-1604.948565001272,157,18.37172508239746,33.64508271217346
13,-1571.4201080255189,161,18.241870880126953,33.467676639556885
14,-1601.2924981977158,152,18.451801300048828,33.381463289260864
15,-1599.5745720052296,161,17.134523391723633,34.57580089569092
16,-1577.9810373330038,161,18.73404884338379,33.70606064796448
17,-1589.1883912129606,147,17.825101852416992,33.40539813041687
