Episode,Step,Curr_Roll,Curr_Pitch,Curr_Yaw,Tgt_Roll,Tgt_Pitch,Act_Throttle,Act_PitchRate,Act_RollRate,Act_YawRate
0,0,0.028310367837548256,0.4890807867050171,0.17703652298724756,0.0,0.05,-0.357138,-1.0,1.0,-1.0
0,1,0.03094766039401293,0.4996388554573059,0.17999104269089927,0.0,0.05,-0.25949585,-0.9267111,1.0,0.3856963
0,2,0.03094766039401293,0.4996388554573059,0.17999104269089927,0.0,0.05,1.0,-0.35579866,-0.53861,0.7929496
0,3,0.03094766039401293,0.4996388554573059,0.17999104269089927,0.0,0.05,0.20148686,1.0,1.0,-0.0014932752
0,4,0.03094766039401293,0.4996388554573059,0.17999104269089927,0.0,0.05,-0.5305345,-0.06457102,-1.0,-0.92283064
0,5,0.08386278476566077,0.463789165019989,0.1817922763049556,0.0,0.05,-0.2730888,-0.25467882,1.0,-0.048453927
0,6,0.08386278476566077,0.463789165019989,0.1817922763049556,0.0,0.05,-0.8048511,-1.0,-0.8057902,-0.25163677
0,7,0.08386278476566077,0.463789165019989,0.1817922763049556,0.0,0.05,-0.48890656,1.0,1.0,0.54996747
0,8,0.08386278476566077,0.463789165019989,0.1817922763049556,0.0,0.05,-1.0,-0.4816785,0.25399318,0.08797333
0,9,0.08386278476566077,0.463789165019989,0.1817922763049556,0.0,0.05,0.4671275,-1.0,-1.0,1.0
0,10,0.11626025743782521,0.45017209649086,0.19341993730933496,0.0,0.05,-0.19992954,-1.0,-0.4820096,-0.97048736
0,11,0.11626025743782521,0.45017209649086,0.19341993730933496,0.0,0.05,1.0,-1.0,1.0,0.0837166
0,12,0.11626025743782521,0.45017209649086,0.19341993730933496,0.0,0.05,1.0,-0.385967,0.30482244,0.06756863
0,13,0.11626025743782521,0.45017209649086,0.19341993730933496,0.0,0.05,1.0,0.03325966,0.16923288,1.0
0,14,0.11626025743782521,0.45017209649086,0.19341993730933496,0.0,0.05,-0.5504651,0.3073157,0.12643318,-1.0
0,15,0.1278457247465849,0.38429319858551025,0.19954188933743844,0.0,0.05,0.66993576,1.0,-0.90978146,-1.0
0,16,0.1278457247465849,0.38429319858551025,0.19954188933743844,0.0,0.05,-0.1686142,-1.0,1.0,0.65763307
0,17,0.1278457247465849,0.38429319858551025,0.19954188933743844,0.0,0.05,0.7210844,-0.10604544,-1.0,-0.83173835
0,18,0.1278457247465849,0.38429319858551025,0.19954188933743844,0.0,0.05,-0.31333137,-0.5141679,-0.70944506,1.0
0,19,0.1438826771080494,0.3758004903793335,0.2107944773520006,0.0,0.05,0.4997141,1.0,0.47592926,-0.71721196
0,20,0.1438826771080494,0.3758004903793335,0.2107944773520006,0.0,0.05,1.0,-1.0,1.0,-0.5378186
0,21,0.1438826771080494,0.3758004903793335,0.2107944773520006,0.0,0.05,-0.68477356,-1.0,0.42606974,-0.06830934
0,22,0.1438826771080494,0.3758004903793335,0.2107944773520006,0.0,0.05,1.0,-0.23352385,1.0,-0.6016816
0,23,0.1448843966424465,0.3511190712451935,0.22233512661923593,0.0,0.05,-1.0,-0.96064186,0.5154128,0.9189614
0,24,0.1448843966424465,0.3511190712451935,0.22233512661923593,0.0,0.05,0.28660887,-1.0,-0.21684471,-1.0
0,25,0.1448843966424465,0.3511190712451935,0.22233512661923593,0.0,0.05,1.0,-0.7357405,0.04522744,-0.27721772
0,26,0.1448843966424465,0.3511190712451935,0.22233512661923593,0.0,0.05,-0.70216167,-0.1541379,-1.0,-0.39078054
0,27,0.1448843966424465,0.3511190712451935,0.22233512661923593,0.0,0.05,0.98329276,-1.0,0.5318985,-0.76723766
0,28,0.2134473004937172,0.27798059582710266,0.23490578103840132,0.0,0.05,-1.0,0.2951787,1.0,-0.19767855
0,29,0.2134473004937172,0.27798059582710266,0.23490578103840132,0.0,0.05,-1.0,-1.0,0.93019766,-1.0
0,30,0.2134473004937172,0.27798059582710266,0.23490578103840132,0.0,0.05,-0.30441052,0.21768026,0.32129526,0.42013022
0,31,0.2134473004937172,0.27798059582710266,0.23490578103840132,0.0,0.05,-0.6942321,-0.008208543,0.5589372,-0.64671504
0,32,0.2554724505543709,0.231702521443367,0.2517465057379677,0.0,0.05,0.8382343,-0.29644698,-0.9969728,-0.61111706
0,33,0.2554724505543709,0.231702521443367,0.2517465057379677,0.0,0.05,0.46660408,-1.0,0.12812585,-1.0
0,34,0.2554724505543709,0.231702521443367,0.2517465057379677,0.0,0.05,0.5435761,-1.0,-0.18811223,-0.0719661
0,35,0.2554724505543709,0.231702521443367,0.2517465057379677,0.0,0.05,-0.79963124,1.0,0.13573353,1.0
0,36,0.2554724505543709,0.231702521443367,0.2517465057379677,0.0,0.05,0.021484058,-1.0,-0.45474392,-0.8457593
0,37,0.2830059815943241,0.181372731924057,0.2764836375127323,0.0,0.05,-0.17652985,0.17324159,-1.0,0.1194917
0,38,0.2830059815943241,0.181372731924057,0.2764836375127323,0.0,0.05,0.5054005,-0.99263275,1.0,-0.15859208
0,39,0.2830059815943241,0.181372731924057,0.2764836375127323,0.0,0.05,0.47622836,-0.46404517,0.062431186,1.0
0,40,0.2830059815943241,0.181372731924057,0.2764836375127323,0.0,0.05,1.0,-0.5165058,0.2984687,-1.0
0,41,0.2693159393966198,0.14551441371440887,0.29810684292061823,0.0,0.05,-0.3549772,0.5341937,1.0,0.5065011
0,42,0.2693159393966198,0.14551441371440887,0.29810684292061823,0.0,0.05,-0.14767586,0.12530282,0.33303326,-0.82128435
0,43,0.2693159393966198,0.14551441371440887,0.29810684292061823,0.0,0.05,-0.4727182,0.017213345,-0.52451104,0.5347525
0,44,0.2693159393966198,0.14551441371440887,0.29810684292061823,0.0,0.05,0.9775697,-0.47139245,0.7465266,-1.0
0,45,0.2693159393966198,0.14551441371440887,0.29810684292061823,0.0,0.05,0.12217502,0.87411636,-1.0,0.25466925
0,46,0.3184582391381264,0.11184079945087433,0.32901830159226936,0.0,0.05,-0.23129103,0.7890335,-0.025083095,1.0
0,47,0.3184582391381264,0.11184079945087433,0.32901830159226936,0.0,0.05,-0.6959547,-1.0,0.39560324,-0.3362363
0,48,0.3184582391381264,0.11184079945087433,0.32901830159226936,0.0,0.05,0.08230837,-1.0,0.9259145,-0.19241972
0,49,0.3184582391381264,0.11184079945087433,0.32901830159226936,0.0,0.05,0.5925673,0.25073457,-0.72858644,-1.0
0,50,0.3302307714521885,0.0971611887216568,0.36123444504483637,0.0,0.05,0.3544011,-1.0,0.48474133,0.042376816
0,51,0.3302307714521885,0.0971611887216568,0.36123444504483637,0.0,0.05,-1.0,-0.8991202,0.19055066,0.3813213
0,52,0.3302307714521885,0.0971611887216568,0.36123444504483637,0.0,0.05,1.0,-1.0,1.0,0.04919675
0,53,0.3302307714521885,0.0971611887216568,0.36123444504483637,0.0,0.05,0.30740595,-1.0,-0.5560982,0.56602716
0,54,0.3302307714521885,0.0971611887216568,0.36123444504483637,0.0,0.05,1.0,-0.4677239,1.0,-0.47863767
0,55,0.3709634979069233,0.027759719640016556,0.3842013023186456,0.0,0.05,0.17968056,0.49240294,1.0,0.67440903
0,56,0.3709634979069233,0.027759719640016556,0.3842013023186456,0.0,0.05,0.9429537,-1.0,1.0,-0.46173507
0,57,0.3709634979069233,0.027759719640016556,0.3842013023186456,0.0,0.05,0.8782079,1.0,-0.835648,0.6770984
0,58,0.3709634979069233,0.027759719640016556,0.3842013023186456,0.0,0.05,0.029109292,-1.0,-0.51479733,-0.38292277
0,59,0.43994264245033265,-0.022722024470567703,0.411312954136598,0.0,0.05,1.0,-0.19004253,1.0,-0.47835398
0,60,0.43994264245033265,-0.022722024470567703,0.411312954136598,0.0,0.05,-0.5914105,-1.0,0.21368432,-0.73485094
0,61,0.43994264245033265,-0.022722024470567703,0.411312954136598,0.0,0.05,-0.24083304,0.19448629,0.57103086,0.99952674
0,62,0.43994264245033265,-0.022722024470567703,0.411312954136598,0.0,0.05,-0.26899448,-0.17491782,-0.55529755,-0.9076997
