Timestamp,State,VTOL_Type,Altitude_m,Speed_ms,Cmd_Throttle,Cmd_Elevator,Cmd_Aileron,Cmd_Rudder
1774364844.842,TAKEOFF,MC,15.368,2.890,1.000,0.240,-0.037,0.000
1774364844.892,TAKEOFF,MC,15.533,2.892,1.000,0.240,-0.037,0.000
1774364844.943,TAKEOFF,MC,15.674,2.895,1.000,0.240,-0.062,0.000
1774364844.994,TAKEOFF,MC,15.815,2.899,1.000,0.240,-0.062,0.000
1774364845.045,TAKEOFF,MC,15.956,2.903,1.000,0.240,-0.062,0.000
1774364845.095,TAKEOFF,MC,16.122,2.904,1.000,0.240,-0.062,0.000
1774364845.146,TAKEOFF,MC,16.265,2.906,1.000,0.240,-0.062,0.000
1774364845.197,TAKEOFF,MC,16.432,2.909,1.000,0.240,-0.063,0.000
1774364845.248,TAKEOFF,MC,16.574,2.912,1.000,0.240,-0.063,0.000
1774364845.299,TAKEOFF,MC,16.716,2.914,1.000,0.240,-0.063,0.000
1774364845.349,TAKEOFF,MC,16.881,2.917,1.000,0.240,-0.063,0.000
1774364845.401,TAKEOFF,MC,17.023,2.918,1.000,0.240,-0.063,0.000
1774364845.451,TAKEOFF,MC,17.164,2.922,1.000,0.240,-0.051,0.000
1774364845.502,TAKEOFF,MC,17.331,2.923,1.000,0.240,-0.051,0.000
1774364845.554,TAKEOFF,MC,17.475,2.927,1.000,0.240,-0.051,0.000
1774364845.604,TAKEOFF,MC,17.642,2.931,1.000,0.240,-0.051,0.000
1774364845.655,TAKEOFF,MC,17.785,2.933,1.000,0.240,-0.051,0.000
1774364845.706,TAKEOFF,MC,17.928,2.936,1.000,0.240,-0.028,0.000
1774364845.757,TAKEOFF,MC,18.095,2.936,1.000,0.240,-0.028,0.000
1774364845.808,TAKEOFF,MC,18.237,2.936,1.000,0.240,-0.028,0.000
1774364845.858,TAKEOFF,MC,18.379,2.937,1.000,0.240,-0.028,0.000
1774364845.909,TAKEOFF,MC,18.548,2.936,1.000,0.240,-0.028,0.000
1774364845.960,TAKEOFF,MC,18.692,2.938,1.000,0.240,-0.011,0.000
1774364846.011,TAKEOFF,MC,18.835,2.939,1.000,0.240,-0.011,0.000
1774364846.061,TAKEOFF,MC,19.003,2.941,1.000,0.240,-0.011,0.000
1774364846.112,TAKEOFF,MC,19.146,2.941,1.000,0.240,-0.011,0.000
1774364846.163,TAKEOFF,MC,19.288,2.941,1.000,0.240,-0.011,0.000
1774364846.214,TAKEOFF,MC,19.454,2.941,1.000,0.240,0.001,0.000
1774364846.264,TAKEOFF,MC,19.596,2.941,1.000,0.240,0.001,0.000
1774364846.315,TAKEOFF,MC,19.743,2.943,1.000,0.240,0.001,0.000
1774364846.366,TAKEOFF,MC,19.913,2.945,1.000,0.240,0.001,0.000
1774364846.417,TAKEOFF,MC,20.058,2.944,1.000,0.240,0.001,0.000
1774364846.468,TAKEOFF,MC,20.202,2.945,1.000,0.240,0.009,0.000
1774364846.518,TAKEOFF,MC,20.370,2.945,1.000,0.240,0.009,0.000
1774364846.569,TAKEOFF,MC,20.514,2.944,1.000,0.240,0.009,0.000
1774364846.620,TAKEOFF,MC,20.657,2.946,1.000,0.240,0.009,0.000
1774364846.671,TAKEOFF,MC,20.825,2.946,1.000,0.240,0.009,0.000
1774364846.722,TAKEOFF,MC,20.971,2.956,1.000,0.240,0.017,0.000
1774364846.772,TAKEOFF,MC,21.119,3.001,1.000,0.240,0.017,0.000
1774364846.823,TAKEOFF,MC,21.292,3.038,1.000,0.240,0.017,0.000
1774364846.874,TAKEOFF,MC,21.442,3.053,1.000,0.240,0.017,0.000
1774364846.925,TAKEOFF,MC,21.591,3.057,1.000,0.240,0.017,0.000
1774364846.975,TAKEOFF,MC,21.765,3.057,1.000,0.240,0.020,0.000
1774364847.026,TAKEOFF,MC,21.914,3.053,1.000,0.240,0.020,0.000
1774364847.077,TAKEOFF,MC,22.063,3.051,1.000,0.240,0.020,0.000
1774364847.128,TAKEOFF,MC,22.241,3.050,1.000,0.240,0.020,0.000
