time,r,p,y,p_rate,q_rate,r_rate,r_d,p_d,y_d,ail,ele,rud,thr
1.77271e+09,0.304667,-0.0330341,1.36429,-0.00351631,-0.0561945,-0.181669,0.30348,-0.0317268,1.37355,-0.44,0.006,0.224,0.496
1.77271e+09,0.304386,-0.0329245,1.35673,-0.0162983,-0.0524034,-0.182066,0.303644,-0.0318304,1.35518,-0.44,0.008,0.228,0.495
1.77271e+09,0.304385,-0.0328238,1.34975,-0.00241211,-0.05933,-0.192852,0.303644,-0.0318304,1.35518,-0.44,0.008,0.228,0.495
1.77271e+09,0.304385,-0.0328238,1.34975,-0.00241211,-0.05933,-0.192852,0.303644,-0.0318304,1.35518,-0.44,0.008,0.228,0.495
1.77271e+09,0.304389,-0.0328824,1.34587,-0.00948373,-0.060577,-0.185909,0.303644,-0.0318304,1.35518,-0.44,0.008,0.228,0.495
1.77271e+09,0.304389,-0.0328824,1.34587,-0.00948373,-0.060577,-0.185909,0.303644,-0.0318304,1.35518,-0.44,0.008,0.228,0.495
1.77271e+09,0.304239,-0.0328974,1.33814,-0.00481907,-0.0586737,-0.181065,0.303524,-0.0318209,1.3351,-0.44,0.008,0.224,0.495
1.77271e+09,0.304093,-0.0328713,1.3297,-0.00812039,-0.0530306,-0.182532,0.303524,-0.0318209,1.3351,-0.44,0.008,0.224,0.495
1.77271e+09,0.304093,-0.0328713,1.3297,-0.00812039,-0.0530306,-0.182532,0.303524,-0.0318209,1.3351,-0.44,0.008,0.224,0.495
1.77271e+09,0.304061,-0.0328372,1.32585,-0.00914377,-0.056561,-0.180953,0.303524,-0.0318209,1.3351,-0.44,0.008,0.224,0.495
1.77271e+09,0.304061,-0.0328372,1.32585,-0.00914377,-0.056561,-0.180953,0.303524,-0.0318209,1.3351,-0.44,0.008,0.224,0.495
1.77271e+09,0.303977,-0.0328466,1.31888,-0.00838047,-0.0632402,-0.183651,0.303339,-0.031786,1.31651,-0.44,0.006,0.23,0.496
1.77271e+09,0.30388,-0.0328722,1.31025,-0.00771081,-0.063561,-0.187981,0.303339,-0.031786,1.31651,-0.44,0.006,0.23,0.496
1.77271e+09,0.30388,-0.0328722,1.31025,-0.00771081,-0.063561,-0.187981,0.303339,-0.031786,1.31651,-0.44,0.006,0.23,0.496
1.77271e+09,0.303823,-0.0328731,1.30714,-0.0159707,-0.0562739,-0.183398,0.303339,-0.031786,1.31651,-0.44,0.006,0.23,0.496
1.77271e+09,0.303823,-0.0328731,1.30714,-0.0159707,-0.0562739,-0.183398,0.303339,-0.031786,1.31651,-0.44,0.006,0.23,0.496
1.77271e+09,0.30375,-0.0329149,1.2994,-0.00494781,-0.0604784,-0.183919,0.303179,-0.0317097,1.29634,-0.44,0.006,0.222,0.496
1.77271e+09,0.303748,-0.0330114,1.29176,-0.00903715,-0.0566934,-0.179808,0.303179,-0.0317097,1.29634,-0.44,0.006,0.222,0.496
1.77271e+09,0.303748,-0.0330114,1.29176,-0.00903715,-0.0566934,-0.179808,0.303179,-0.0317097,1.29634,-0.44,0.006,0.222,0.496
1.77271e+09,0.303653,-0.0330128,1.288,-0.00941812,-0.0554859,-0.179466,0.303179,-0.0317097,1.29634,-0.44,0.006,0.222,0.496
1.77271e+09,0.303653,-0.0330128,1.288,-0.00941812,-0.0554859,-0.179466,0.303179,-0.0317097,1.29634,-0.44,0.006,0.222,0.496
1.77271e+09,0.303585,-0.0328597,1.28039,-0.00877876,-0.0599182,-0.182448,0.30307,-0.0319276,1.27807,-0.442,0.006,0.228,0.496
1.77271e+09,0.303447,-0.0327085,1.27267,-0.0104012,-0.0522805,-0.185377,0.30307,-0.0319276,1.27807,-0.442,0.006,0.228,0.496
1.77271e+09,0.303447,-0.0327085,1.27267,-0.0104012,-0.0522805,-0.185377,0.30307,-0.0319276,1.27807,-0.442,0.006,0.228,0.496
1.77271e+09,0.303393,-0.0326223,1.2681,-0.0109757,-0.0566117,-0.181326,0.30307,-0.0319276,1.27807,-0.442,0.006,0.228,0.496
1.77271e+09,0.303393,-0.0326223,1.2681,-0.0109757,-0.0566117,-0.181326,0.30307,-0.0319276,1.27807,-0.442,0.006,0.228,0.496
1.77271e+09,0.30347,-0.0325849,1.26114,-0.00692705,-0.0537674,-0.18878,0.30307,-0.0321376,1.25805,-0.442,0.008,0.234,0.495
1.77271e+09,0.303443,-0.0324216,1.2535,-0.00632086,-0.0551865,-0.178794,0.30307,-0.0321376,1.25805,-0.442,0.008,0.234,0.495
